Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0730858L,Université de Chambéry,27  RUE MARCOZ,73011,CHAMBERY,1601262C,"SCIENCES, TECHNOLOGIES, SANTÉ","Énergétique, thermique",diplôme,Formation initiale,1er semestre,,zCa4j
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS,1604303C,"DROIT, ECONOMIE, GESTION",Droit bancaire et financier,dossier,Formation initiale,1er semestre,Droit,6G2TU
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS,1604318U,"DROIT, ECONOMIE, GESTION",Droit pénal et sciences criminelles,dossier,Formation initiale,1er semestre,Droit,6G2TU
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS,1900185B,"DROIT, ECONOMIE, GESTION",Droit de la santé,dossier,Formation initiale,1er semestre,Droit,6G2TU
0751721N,Université Paris-V,12  RUE DE L'ECOLE DE MEDECINE,75270,PARIS,1405785P,"SCIENCES, TECHNOLOGIES, SANTÉ",Staps : entraînement et optimisation de la performance sportive,dossier,,,,O2v0H
0753465J,Agro Paris Tech (Institut des sciences et industries du vivant et de l'environnement),16 RUE CLAUDE BERNARD,75231,PARIS,1503180S,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de l'eau,diplôme,"Formation initiale,Formation continue",1er semestre,,SsSFH
0753488J,Institut national des langues et civilisations orientales,65  RUE DES GRANDS MOULINS,75214,PARIS,1603001T,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation initiale,1er semestre,,Dk1Th
0753742K,Ecole des hautes études en sciences sociales,54 boulevard Raspail,75013,PARIS,1900329H,SCIENCES HUMAINES ET SOCIALES,Territoires et développement,dossier,Formation initiale,1er semestre,,y52D7
0755661W,Institut mines télécom,46  RUE BARRAULT,75634,PARIS,1702923D,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique fondamentale et applications,diplôme,Formation initiale,3ème semestre,,6Th4v
0755890V,Université Sorbonne Université,21 rue de l'Ecole de Médecine,75006,PARIS,1900249W,SCIENCES HUMAINES ET SOCIALES,"Information, communication",dossier,"Formation initiale,Formation continue",1er semestre,,bxPQe
0755890V,Université Sorbonne Université,21 rue de l'Ecole de Médecine,75006,PARIS,1301112C,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,"Formation initiale,Formation continue",1er semestre,,bxPQe
0755890V,Université Sorbonne Université,21 rue de l'Ecole de Médecine,75006,PARIS,1302615L,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,bxPQe
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN,1701990P,"SCIENCES, TECHNOLOGIES, SANTÉ","Mathématiques appliquées, statistique",diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,G4572
0762762P,Université du Havre,25 RUE PHILIPPE LEBON,76063,LE HAVRE,1702676K,"SCIENCES, TECHNOLOGIES, SANTÉ","Électronique, énergie électrique, automatique",diplôme,Formation initiale,1er semestre,"Mécanique,Physique,Sciences pour l'ingénieur,Electronique, énergie électrique, automatique,Sciences et technologies",LsQ24
0772502B,Université de Marne-la-Vallée,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE,1503084M,"DROIT, ECONOMIE, GESTION",Management de l'innovation,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,9Y8CD
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS,1800787F,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,hlX1r
0911975C,Université d'Evry-Val d'Essonne,BOULEVARD FRANCOIS MITTERRAND,91025,EVRY,1502468T,"DROIT, ECONOMIE, GESTION","Gestion de production, logistique, achats",diplôme,"Formation continue,Apprentissage",1er semestre,,RN4E6
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1503407N,"SCIENCES, TECHNOLOGIES, SANTÉ",Nutrition et sciences des aliments,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,dV766
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1501878B,"DROIT, ECONOMIE, GESTION",Droit social,diplôme,"Formation initiale,Apprentissage",1er semestre,,dV766
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1503123E,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,"Formation initiale,Apprentissage",1er semestre,,dV766
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1502651S,"DROIT, ECONOMIE, GESTION",Contrôle de gestion et audit organisationnel,diplôme,Formation initiale,1er semestre,,dV766
0921204J,Université Paris-X,200  AVENUE DE LA REPUBLIQUE,92001,NANTERRE,1401917Y,"DROIT, ECONOMIE, GESTION",Économie appliquée,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0921204J,Université Paris-X,200  AVENUE DE LA REPUBLIQUE,92001,NANTERRE,1402099W,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et techniques des activités physiques et sportives - STAPS,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0921204J,Université Paris-X,200  AVENUE DE LA REPUBLIQUE,92001,NANTERRE,1402123X,"DROIT, ECONOMIE, GESTION","Marketing, vente",diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0931238R,Université Paris-XIII,Avenue Jean-Baptiste Clément,93430,VILLETANEUSE,0900838M,"SCIENCES, TECHNOLOGIES, SANTÉ",Éthologie,dossier,Formation initiale,1er semestre,,cqyN7
0931238R,Université Paris-XIII,Avenue Jean-Baptiste Clément,93430,VILLETANEUSE,1406212C,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,dossier,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqyN7
0931238R,Université Paris-XIII,Avenue Jean-Baptiste Clément,93430,VILLETANEUSE,1406214E,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé publique,dossier,"Formation initiale,Formation continue",1er semestre,,cqyN7
0931827F,Université Paris-VIII,2  RUE DE LA LIBERTE,93526,ST DENIS,1502604R,"ARTS, LETTRES, LANGUES",Cinéma et audiovisuel,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0931827F,Université Paris-VIII,2  RUE DE LA LIBERTE,93526,ST DENIS,1501470H,SCIENCES HUMAINES ET SOCIALES,Culture et communication,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
7200664J,Université de Corse,7 AVENUE J NICOLI,20250,CORTE,1801130D,"SCIENCES, TECHNOLOGIES, SANTÉ",Gestion de l'environnement,diplôme,"Formation initiale,Alternance",1er semestre,,NLCOF
9740478B,Université de La Réunion,15  AVENUE RENE CASSIN,97744,ST DENIS,1501366V,"DROIT, ECONOMIE, GESTION",Tourisme,diplôme,Formation initiale,1er semestre,Economie et gestion,cEt92
9740478B,Université de La Réunion,15  AVENUE RENE CASSIN,97744,ST DENIS,1502150X,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,,cEt92
0781944P,Université de Versailles Saint-Quentin-en-Yvelines,55  AVENUE DE PARIS,78035,VERSAILLES,1501251V,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue",1er semestre,,V13Pk
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS,1801019H,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,"Formation initiale,Formation continue",1er semestre,,8j5s2
0840685N,Université d'Avignon,74  RUE LOUIS PASTEUR,84029,AVIGNON,1302913K,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation initiale,1er semestre,Toutes licences,vxHYt
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES,1603161S,"DROIT, ECONOMIE, GESTION",Administration publique,diplôme,,1er semestre,,nkbwh
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1503042S,"DROIT, ECONOMIE, GESTION",Économie,diplôme,Formation initiale,1er semestre,,dV766
0062126D,COMUE Université Côte d'Azur,28 avenue VALROSE,6103,NICE,1800614T,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,RDy6Q
0311383K,Université Toulouse-II,5  ALLÉES ANTONIO MACHADO,31058,TOULOUSE,1602147P,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES","Civilisations, cultures et sociétés",diplôme,"Formation initiale,Formation continue",1er semestre,"Histoire,Sociologie,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Géographie et aménagement,Information-communication,Sciences de l'Homme, anthropologie, ethnologie,Sciences sociales",HqAYu
0311383K,Université Toulouse-II,5  ALLÉES ANTONIO MACHADO,31058,TOULOUSE,1601688R,SCIENCES HUMAINES ET SOCIALES,Intervention et développement social,diplôme,Formation continue,1er semestre,,HqAYu
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE,1601021R,Autre Domaine,Staps : management du sport,diplôme,"Formation initiale,Formation continue",1er semestre,,m7K6T
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE,1601790B,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé publique,diplôme,"Formation initiale,Formation continue",1er semestre,,m7K6T
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE,1603204N,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et génie des matériaux,diplôme,"Formation initiale,Formation continue",1er semestre,,m7K6T
0331766R,Université Bordeaux-III,DOMAINE UNIVERSITAIRE,33607,PESSAC,1601282Z,"ARTS, LETTRES, LANGUES",Design,diplôme,Formation initiale,1er semestre,,Mz90U
0331766R,Université Bordeaux-III,DOMAINE UNIVERSITAIRE,33607,PESSAC,1603062J,SCIENCES HUMAINES ET SOCIALES,Journalisme,diplôme,Formation initiale,1er semestre,,Mz90U
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1602011S,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé publique,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0342222F,Institut national d'études supérieures agronomiques de Montpellier (Montpellier Sup Agro),2  PLACE PIERRE VIALA,34060,MONTPELLIER,1502483J,"DROIT, ECONOMIE, GESTION","Marketing, vente",diplôme,"Formation continue,Alternance",3ème semestre,,uv3yv
0350937D,Université Rennes-II,PLACE DU RECTEUR LE MOAL,35043,RENNES,1702456W,SCIENCES HUMAINES ET SOCIALES,Psychologie : psychopathologie clinique psychanalytique,diplôme,"Formation initiale,Formation continue",1er semestre,,ti37C
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE,1601751J,"ARTS, LETTRES, LANGUES",Didactique des langues,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,F2yh2
0442674T,"Ecole nationale vétérinaire, agroalimentaire et de l'alimentation Nantes-Atlantique (ONIRIS)",RUE DE LA GÉRAUDIÈRE,44322,NANTES,1701901T,"SCIENCES, TECHNOLOGIES, SANTÉ","Biologie, agrosciences",diplôme,Formation initiale,1er semestre,,b2TCC
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1800329H,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé publique,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,57OsX
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY,1800152R,Autre Domaine,STAPS : ingénierie et ergonomie de l'activité physique,diplôme,"Formation initiale,Formation continue",1er semestre,Sciences et techniques des activités physiques et sportives,t6Cq5
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY,1800193K,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,"Sciences pour l'ingénieur,Electronique, énergie électrique, automatique",t6Cq5
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS,1800981S,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue",1er semestre,,8j5s2
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS,1801043J,SCIENCES HUMAINES ET SOCIALES,Sciences sociales,diplôme,"Formation initiale,Formation continue",1er semestre,"Economie,Science politique,Sciences sanitaires et sociales,Histoire,Sciences de l'éducation,Sociologie,Sciences de l'Homme, anthropologie, ethnologie,Sciences sociales",8j5s2
0840685N,Université d'Avignon,74  RUE LOUIS PASTEUR,84029,AVIGNON,1302058F,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,Toutes licences,vxHYt
0931238R,Université Paris-XIII,Avenue Jean-Baptiste Clément,93430,VILLETANEUSE,1501454R,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,,,cqyN7
0931827F,Université Paris-VIII,2  RUE DE LA LIBERTE,93526,ST DENIS,1401309M,SCIENCES HUMAINES ET SOCIALES,Patrimoine et musées,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1501659N,"DROIT, ECONOMIE, GESTION",Droit public des affaires,diplôme,"Formation initiale,Formation continue",1er semestre,,vb71K
0690193K,"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",1 AVENUE BOURGELAT,69280,MARCY L ETOILE,1702739D,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,diplôme,Formation initiale,,,5cuYU
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1603056C,"ARTS, LETTRES, LANGUES",Français langue étrangère,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON CEDEX 02,1603382G,"ARTS, LETTRES, LANGUES","Langues, littératures et civilisations étrangères et régionales",diplôme,Formation initiale,1er semestre,,7Gzub
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800874A,SCIENCES ET TECHNOLOGIES,Information et médiation scientifique et technique,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,"Chimie,Mathématiques,Physique,Physique, chimie,Géographie et aménagement,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre,Sciences et techniques des activités physiques et sportives",xJdyB
0171463Y,Université de La Rochelle,23 AVENUE ALBERT EINSTEIN,17071,LA ROCHELLE CEDEX 9,1502726Y,"SCIENCES, TECHNOLOGIES, SANTÉ",Biotechnologies,diplôme,"Formation initiale,Formation continue",1er semestre,,atbEK
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON CEDEX,1702028F,SCIENCES HUMAINES ET SOCIALES,Histoire de l'art,diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0212198A,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement (Agrosup Dijon)",26  BOULEVARD DR PETITJEAN,21079,DIJON CEDEX,1702221R,"SCIENCES, TECHNOLOGIES, SANTÉ",Nutrition et sciences des aliments,diplôme,"Formation initiale,Formation continue,Formation à distance",3ème semestre,,upGa1
0290119X,Ecole nationale d'ingénieurs de Brest,TECHNOPOLE BREST IROISE,29238,BREST CEDEX 2,1702500U,"SCIENCES, TECHNOLOGIES, SANTÉ",Réseaux et télécommunication,diplôme,Formation initiale,3ème semestre,,dPmxa
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800858H,SCIENCES DE LA SANTE|SCIENCES ET TECHNOLOGIES,Biologie-santé,diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences de la vie,Sciences de la vie et de la Terre,Sciences pour la santé",xJdyB
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1302893N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,qUCQp
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1702653K,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,1er semestre,Mécanique,p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1702059P,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,Formation initiale,1er semestre,,p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1702129R,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,diplôme,Formation initiale,1er semestre,,p25Q3
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON,1702066X,"SCIENCES, TECHNOLOGIES, SANTÉ","Électronique, énergie électrique, automatique",diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0251215K,Université de Besançon,1  RUE GOUDIMEL,25030,BESANCON,1702158X,"SCIENCES, TECHNOLOGIES, SANTÉ",Énergie,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,7Mpgt
0251215K,Université de Besançon,1  RUE GOUDIMEL,25030,BESANCON,1702345A,"SCIENCES, TECHNOLOGIES, SANTÉ",Traitement du signal et des images,diplôme,"Formation initiale,Formation continue",1er semestre,,7Mpgt
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST,1701367M,SCIENCES DE LA MER ET DU LITTORAL,"Sciences de la terre et des planètes, environnement",diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST,1701217Z,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST,1702034M,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE,1603077A,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",3ème semestre,,mMex4
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE,1602619C,"DROIT, ECONOMIE, GESTION",Sciences économiques et sociales,diplôme,Formation initiale,1er semestre,,542Id
