"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Public,0620052V,Lycee Edouard Branly,Hauts de France,BTS   Production   Conception de produits industriels,"50.7203, 1.61733"
Public,0620056Z,Lycee Carnot,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"50.48, 2.54426"
Public,0620056Z,Lycee Carnot,Hauts de France,BTS   Services   Comptabilite et gestion,"50.48, 2.54426"
Public,0620062F,Lycee Pierre De Coubertin,Hauts de France,BTS   Services   Gestion des transports et logistique associee,"50.9537, 1.83699"
Public,0620063G,Lycee Sophie Berthelot,Hauts de France,BTS   Services   Support à l action manageriale,"50.9474, 1.8424"
Public,0620093P,Lycee Fernand Darchicourt,Hauts de France,BTS   Services   Gestion des transports et logistique associee,"50.411, 2.9597"
Public,0620093P,Lycee Fernand Darchicourt,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.411, 2.9597"
Public,0620108F,Lycee Condorcet,Hauts de France,BTS   Services   Gestion de la PME,"50.4317, 2.83798"
Public,0620109G,Lycee Auguste Behal,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"50.4456, 2.82531"
Public,0620109G,Lycee Auguste Behal,Hauts de France,BTS   Services   Comptabilite et gestion,"50.4456, 2.82531"
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Production   Controle industriel et regulation automatique,"50.4129, 2.76764"
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Production   Conception et realisation en chaudronnerie industrielle,"50.4129, 2.76764"
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Services   Biologie medicale,"50.4129, 2.76764"
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client,"50.4129, 2.76764"
Public,0620161N,Lycee Alexandre Ribot,Hauts de France,BTS   Services   Gestion de la PME,"50.7481, 2.25812"
Public,0620256S,Lycee Guy Mollet,Hauts de France,BTS   Services   Comptabilite et gestion,"50.2804, 2.79577"
Public,0620256S,Lycee Guy Mollet,Hauts de France,BTS   Services   Services informatiques aux organisations,"50.2804, 2.79577"
Prive sous contrat d association,0622110G,Lycee Saint Pierre,Hauts de France,Mise à niveau   Hotellerie restauration,"50.9435, 1.85521"
Prive sous contrat d association,0622114L,Lycee Saint Paul,Hauts de France,BTS   Services   Gestion des transports et logistique associee,"50.436, 2.82236"
Prive sous contrat d association,0622196A,Lycee Baudimont Saint Charles,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client,"50.2945, 2.76632"
Prive sous contrat d association,0622196A,Lycee Baudimont Saint Charles,Hauts de France,BTS   Services   Gestion de la PME,"50.2945, 2.76632"
Prive sous contrat d association,0622198C,Lycee Saint Joseph,Hauts de France,BTS   Services   Communication,"50.736, 1.62276"
Public,0622238W,I.U.T. de Bethune,Hauts de France,BUT   Genie civil   Construction durable,"50.5185, 2.65779"
Public,0622238W,I.U.T. de Bethune,Hauts de France,BUT   Reseaux et telecommunications,"50.5185, 2.65779"
Public,0622257S,Lycee agro environnemental d Arras,Hauts de France,BTS   Agricole   Agronomie et cultures durables,"50.2741, 2.83746"
Public,0622807P,Lycee des Metiers   Hotelier,Hauts de France,BTS   Services   Management en hotellerie restauration,"50.5166, 1.60171"
Public,0623920Z,Universite du littoral   Site de Boulogne sur Mer,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol","50.7263, 1.60525"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol   LLCER","50.2836, 2.79225"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,Licence   Lettres   Parcours Lettres modernes,"50.2836, 2.79225"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Chinois   LLCER","50.2836, 2.79225"
Public,0624141P,Lycee Leonard de Vinci,Hauts de France,BTS   Production   Maintenance des systemes   option A Systemes de production,"50.9536, 1.88726"
Public,0624141P,Lycee Leonard de Vinci,Hauts de France,BTS   Production   Assistance technique d ingenieur,"50.9536, 1.88726"
Public,0630018C,Lycee Blaise Pascal,Auvergne Rhone Alpes,CPGE   PCSI,"45.7753, 3.09421"
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,CPGE   ECT   Option technologique,"45.7823, 3.0866"
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,BTS   Services   Professions immobilieres,"45.7823, 3.0866"
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,BTS   Services   Services informatiques aux organisations,"45.7823, 3.0866"
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,BTS   Services   Economie sociale familiale,"45.7823, 3.0866"
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,Diplome de Comptabilite et de Gestion,"45.7823, 3.0866"
Public,0630021F,Lycee La Fayette,Auvergne Rhone Alpes,BTS   Production   Maintenance des systemes   option A Systemes de production,"45.7626, 3.13152"
Public,0630034V,Lycee Murat,Auvergne Rhone Alpes,BTS   Services   Negociation et digitalisation de la Relation Client,"45.5503, 3.24829"
Public,0630077S,Lycee Ambroise Brugiere,Auvergne Rhone Alpes,BTS   Services   Assurance,"45.8011, 3.10765"
Public,0630095L,CPI Clermont Ferrand (Sigma Clermont),Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac General,"45.7575, 3.11257"
Prive hors contrat,0630111D,Institut National des Formations Notariales   site de CLERMONT FERRAND,Auvergne Rhone Alpes,BTS   Services   Collaborateur juriste notarial,"45.7577, 3.13164"
Public,0632085Z,I.U.T Clermont Auvergne   site d Aubiere,Auvergne Rhone Alpes,BUT   Informatique,"45.7625, 3.10894"
Public,0632085Z,I.U.T Clermont Auvergne   site d Aubiere,Auvergne Rhone Alpes,BUT   Mesures physiques,"45.76196, 3.10845"
Prive sous contrat d association,0631033F,Lycee Sevigne Saint Louis,Auvergne Rhone Alpes,BTS   Services   Conseil et commercialisation de solutions techniques,"45.5407, 3.24824"
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,CPGE   MPSI,"45.7801, 3.09279"
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,BTS   Production   Conception de produits industriels,"45.7801, 3.09279"
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,BTS   Services   Negociation et digitalisation de la Relation Client,"45.7801, 3.09279"
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,Diplome de Comptabilite et de Gestion,"45.7801, 3.09279"
Prive sous contrat d association,0631075B,Institution Saint Alyre,Auvergne Rhone Alpes,BTS   Services   Management Commercial Operationnel,"45.7835, 3.08183"
Prive sous contrat d association,0631075B,Institution Saint Alyre,Auvergne Rhone Alpes,BTS   Services   Gestion de la PME,"45.7835, 3.08183"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Economie,"45.7696, 3.09345"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Mise à niveau Scientifique,"45.7606, 3.11368"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees   Parcours Anglais/Italien,"45.7758, 3.09231"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Geographie et amenagement,"45.7717, 3.0906"
Public,0631669X,Lycee polyvalent Valery GISCARD d ESTAING   Lycee des metiers de l hotellerie de la restauration,Auvergne Rhone Alpes,BTS   Services   Management en hotellerie restauration,"45.7784, 3.04954"
Public,0631985R,Lycee Polyvalent Pierre Joel Bonte,Auvergne Rhone Alpes,BTS   Production   Maintenance des systemes   option B Systemes energetiques et fluidiques,"45.8807, 3.11074"
Public,0631985R,Lycee Polyvalent Pierre Joel Bonte,Auvergne Rhone Alpes,BTS   Production   Travaux publics,"45.8807, 3.11074"
Public,0640001D,Lycee Cantau,Nouvelle Aquitaine,"BTS   Production   Fluide, energie, domotique   option A genie climatique et fluidique","43.4744, -1.51172"
Public,0640010N,Lycee Rene Cassin Bayonne Biarritz,Nouvelle Aquitaine,BTS   Services   Metiers de l audio visuel opt : metiers du son,"43.48035, -1.55515"
Public,0640011P,LPO Louis De Foix,Nouvelle Aquitaine,BTS   Services   Gestion de la PME,"43.4825, -1.47505"
Public,0640044A,Lycee des metiers de la chimie Albert Camus,Nouvelle Aquitaine,BTS   Production   Metiers de la chimie,"43.3704, -0.62513"
Public,0640052J,Lycee Gaston Febus,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel,"43.4904, -0.76567"
Public,0640055M,Lycee Louis Barthou,Nouvelle Aquitaine,CPGE   Lettres,"43.2962, -0.36446"
Public,0640057P,Lycee Saint Cricq,Nouvelle Aquitaine,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","43.29849, -0.35947"
Public,0640057P,Lycee Saint Cricq,Nouvelle Aquitaine,BTS   Services   Conseil et commercialisation de solutions techniques,"43.29849, -0.35947"
Public,0640220S,Lycee agricole de Pau Montardon,Nouvelle Aquitaine,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","43.3685, -0.34673"
Public,0640220S,Lycee agricole de Pau Montardon,Nouvelle Aquitaine,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil","43.3685, -0.34673"
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,Insertion à la Licence Scientifique (APILS),"43.31389, -0.36375"
Public,0642127P,Universite de Pau et des pays de l Adour   College SSH (Pau),Nouvelle Aquitaine,Licence   Histoire de l art et archeologie,"43.31626, -0.36509"
Public,0642127P,Universite de Pau et des pays de l Adour   College SSH (Pau),Nouvelle Aquitaine,Licence   Geographie et amenagement,"43.31626, -0.36509"
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,Licence   Mathematiques et informatique appliquees aux sciences humaines et sociales,"43.31389, -0.36375"
Prive sous contrat d association,0641441U,Lycee Stella Maris   Campus Aitzina,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel,"43.5011, -1.52441"
Public,0641478J,I.U.T. de Bayonne,Nouvelle Aquitaine,BUT   Genie industriel et maintenance,"43.4779, -1.5088"
Prive sous contrat d association,0641547J,Lycee professionnel Agricole Saint Christophe,Nouvelle Aquitaine,BTS   Agricole   Gestion et protection de la nature,"43.3576, -1.54882"
Public,0642126N,Universite de Pau et des pays de l Adour   College EEI (Bayonne),Nouvelle Aquitaine,Licence   Economie et gestion,"43.48885, -1.47195"
Public,0641842E,I.U.T des Pays de l Adour,Nouvelle Aquitaine,BUT   Metiers de la Transition et de l Efficacite energetiques,"43.3135, -0.36594"
Prive enseignement superieur,0641923T,CPBx (ESTIA),Nouvelle Aquitaine,Formation d ingenieur Bac + 5   bac general,"43.4462, -1.55389"
Public,0650026A,Lycee Marie Curie,Occitanie,BTS   Services   Services informatiques aux organisations,"43.2231, 0.0721"
Public,0651125V,Ecole nationale d ingenieurs de Tarbes,Occitanie,Formation d ingenieur Bac + 5   Bac general,"43.23333, 0.08333"
Public,0650139Y,L.E.G.T.A. Jean Monnet,Occitanie,BTS   Agricole   Technico commercial   Specialite produit de la filiere bois,"43.3826, 0.04648"
Public,0650583F,I.U.T de Tarbes,Occitanie,BUT   Metiers du multimedia et de l internet,"43.2269, 0.04871"
Prive sous contrat d association,0650065T,Lycee Pradeau la Sede St Pierre,Occitanie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","43.22883, 0.05789"
Public,0660014G,Lycee Pablo Picasso,Occitanie,BTS   Production   Conception et Realisation de Systemes Automatiques,"42.6972, 2.9264"
Public,0660014G,Lycee Pablo Picasso,Occitanie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","42.6972, 2.9264"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol","42.6846, 2.89905"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Geographie et amenagement,"42.6846, 2.89905"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Histoire,"42.6846, 2.89905"
Public,0660924W,LYCEE POLYVALENT CHRISTIAN BOURQUIN,Occitanie,Mise à niveau   Hotellerie restauration,"42.5462, 3.02291"
Public,0670020H,Lycee Robert Schuman,Grand Est,BTS   Services   Management Commercial Operationnel,"48.8143, 7.79509"
Public,0670071N,Lycee Koeberle,Grand Est,BTS   Services   Negociation et digitalisation de la Relation Client,"48.2645, 7.45573"
Public,0670071N,Lycee Koeberle,Grand Est,BTS   Services   Comptabilite et gestion,"48.2645, 7.45573"
Public,0670080Y,Lycee Kleber,Grand Est,CPGE   MPSI,"48.5942, 7.75706"
Public,0670084C,Lycee Jean Rostand,Grand Est,CPGE   TB,"48.5821, 7.76295"
Public,0670084C,Lycee Jean Rostand,Grand Est,BTS   Production   Bioqualite,"48.5821, 7.76295"
Public,0670084C,Lycee Jean Rostand,Grand Est,BTS   Production   Bioanalyses en laboratoire de controle,"48.5821, 7.76295"
Public,0670084C,Lycee Jean Rostand,Grand Est,BTS   Production   Biotechnologie en recherche et en production,"48.5821, 7.76295"
Public,0670084C,Lycee Jean Rostand,Grand Est,BTS   Services   Dietetique et nutrition,"48.5821, 7.76295"
Public,0670084C,Lycee Jean Rostand,Grand Est,DTS Imagerie medicale et radiologie therapeutique,"48.5823, 7.76214"
Public,0670086E,Lycee des metiers Rene Cassin,Grand Est,BTS   Services   Services informatiques aux organisations,"48.5826, 7.77046"
Public,0670086E,Lycee des metiers Rene Cassin,Grand Est,"CPGE   ECT   Option technologique   (en 3 ans, destinee aux bacs professionnels)","48.5826, 7.77046"
Public,0670114K,Lycee Stanislas,Grand Est,BTS   Production   Architectures en Metal : conception et Realisation,"49.0352, 7.96057"
Public,0670186N,Ecole Nationale Superieure d Architecture de Strasbourg,Grand Est,Architecture,"48.5862, 7.73732"
Public,0671509B,Lycee des metiers CFA Heinrich Nessel,Grand Est,BTS   Production   Conception et Realisation de Systemes Automatiques,"48.7999, 7.76758"
Public,0671557D,I.U.T. d Illkirch,Grand Est,BUT   Informatique,"48.5302, 7.73701"
Public,0671557D,I.U.T. d Illkirch,Grand Est,BUT   Information communication Parcours publicite,"48.5302, 7.73701"
Public,0671557D,I.U.T. d Illkirch,Grand Est,BUT   Information communication Parcours communication des organisations,"48.5302, 7.73701"
Prive sous contrat d association,0671639T,Lycee des Metiers Sainte Clotilde,Grand Est,BTS   Services   Communication,"48.5875, 7.77243"
Public,0671685T,Lycee agricole d Obernai,Grand Est,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","48.4703, 7.49091"
Public,0671685T,Lycee agricole d Obernai,Grand Est,BTS   Agricole   Gestion et maitrise de l eau,"48.4703, 7.49091"
Public,0671779V,Lycee professionnel agricole,Grand Est,BTS   Agricole   Developpement et animation de projets territoriaux,"48.4207, 7.64809"
Prive sous contrat d association,0672050P,ECP   Ecole Commerciale Privee,Grand Est,BTS   Services   Management Commercial Operationnel,"48.5912, 7.74164"
Prive sous contrat d association,0672050P,ECP   Ecole Commerciale Privee,Grand Est,BTS   Services   Comptabilite et gestion,"48.5912, 7.74164"
Prive enseignement superieur,0590347G,ISEN Lille,Hauts de France,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"50.6342, 3.04871"
Public,0672834S,I.U.T. de Haguenau,Grand Est,BUT   Genie electrique et informatique industrielle,"48.8164, 7.78656"
Public,0673021V,Universite de Strasbourg,Grand Est,"DEUST   Mediations citoyennes   Ville, environnement et justice sociale","48.5783, 7.7658"
Public,0673021V,Universite de Strasbourg,Grand Est,"DEUST   Pratique et gestion des activites physiques, sportives et de loisirs pour les publics seniors","48.5784, 7.76277"
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Arts   Parcours Design graphique et numerique,"48.5848, 7.76227"
Public,0673021V,Universite de Strasbourg,Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours etudes allemandes : Langues et cultures des mondes germaniques","48.5782, 7.76566"
Public,0673021V,Universite de Strasbourg,Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours etudes persanes","48.579, 7.7663"
Public,0673021V,Universite de Strasbourg,Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langues et interculturalite   Ensemble Europe centrale et orientale","48.579, 7.7663"
Public,0673021V,Universite de Strasbourg,Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours etudes italiennes","48.579, 7.7663"
